pruid,prname,date,reporting_year,numtotal_last7,ratecases_total,numdeaths,numdeaths_last7,ratedeaths,ratecases_last7,ratedeaths_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7,totalcases,Population,Land_Area_Square_Kilometres,numtotal_atleast1dose,numtotal_partially,numtotal_fully
60,Yukon,2022-07-23,2022,36,10511.01,26,0,59.38,82.97,0.0,11.85,0.0,0.0,4603,43241.0,472345.44,36671.0,1226.0,35445.0
61,Northwest Territories,2022-07-23,2022,0,25240.65,22,0,48.24,0.0,0.0,0.0,0.0,0.0,11511,45710.0,1127711.92,35142.0,1453.0,33689.0
62,Nunavut,2022-07-23,2022,0,8712.93,7,0,17.27,0.0,0.0,0.0,0.0,0.0,3531,40003.0,1836993.78,33293.0,2708.0,30585.0
99,Repatriated travellers,2022-07-23,2022,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0
1,Canada,2022-07-23,2022,33362,10420.01,42990,290,110.43,85.7,0.75,12.24,41.49,0.11,4056501,38516138.0,8788702.8,32521411.0,1183642.0,31337769.0
59,British Columbia,2022-07-30,2022,983,7130.12,3940,32,74.07,18.48,0.6,2.64,4.57,0.09,379274,5251578.0,920686.55,4527735.0,164371.0,4363364.0
48,Alberta,2022-07-30,2022,1671,13108.4,4693,21,103.3,36.78,0.46,5.25,3.0,0.07,595529,4482385.0,634658.27,3573383.0,166296.0,3407087.0
47,Saskatchewan,2022-07-30,2022,381,11805.38,1459,11,122.11,31.89,0.92,4.56,1.57,0.13,141051,1185311.0,577060.4,957997.0,49173.0,908824.0
46,Manitoba,2022-07-30,2022,258,10397.5,2067,6,146.68,18.31,0.43,2.62,0.86,0.06,146524,1398303.0,540310.19,1149563.0,41676.0,1107887.0
35,Ontario,2022-07-30,2022,11341,9076.25,13656,77,90.38,75.06,0.51,10.72,11.0,0.07,1371369,14940912.0,892411.76,12573708.0,429429.0,12144279.0
24,Quebec,2022-07-30,2022,10237,13199.25,16203,98,186.33,117.73,1.13,16.82,14.0,0.16,1147762,8637650.0,1298599.75,7380033.0,219817.0,7160216.0
10,Newfoundland and Labrador,2022-07-30,2022,336,9458.3,207,3,39.3,63.88,0.65,9.13,0.49,0.09,49748,522501.0,358170.37,500017.0,19293.0,480724.0
13,New Brunswick,2022-07-30,2022,747,8894.16,447,4,55.05,91.99,0.49,13.14,0.57,0.07,72226,799245.0,71248.5,701128.0,38109.0,663019.0
12,Nova Scotia,2022-07-30,2022,1748,11318.46,468,1,45.89,171.4,0.14,24.49,0.2,0.02,115417,1002441.0,52824.71,902193.0,44178.0,858015.0
11,Prince Edward Island,2022-07-30,2022,1173,27428.83,49,0,28.71,686.97,0.0,98.14,0.0,0.0,46818,166858.0,5681.18,150548.0,5913.0,144635.0
60,Yukon,2022-07-30,2022,79,10691.42,26,0,59.38,180.41,0.0,25.77,0.0,0.0,4682,43241.0,472345.44,36671.0,1226.0,35445.0
61,Northwest Territories,2022-07-30,2022,0,25240.65,22,0,48.24,0.0,0.0,0.0,0.0,0.0,11511,45710.0,1127711.92,35142.0,1453.0,33689.0
62,Nunavut,2022-07-30,2022,0,8712.93,7,0,17.27,0.0,0.0,0.0,0.0,0.0,3531,40003.0,1836993.78,33293.0,2708.0,30585.0
99,Repatriated travellers,2022-07-30,2022,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0
1,Canada,2022-07-30,2022,28953,10494.39,43244,254,111.08,74.37,0.65,10.62,36.27,0.09,4085455,38516138.0,8788702.8,32521411.0,1183642.0,31337769.0
59,British Columbia,2022-08-06,2022,900,7147.04,3995,55,75.1,16.92,1.03,2.42,7.86,0.15,380174,5251578.0,920686.55,4527735.0,164371.0,4363364.0
48,Alberta,2022-08-06,2022,1710,13146.04,4724,31,103.98,37.64,0.68,5.38,4.43,0.1,597239,4482385.0,634658.27,3573383.0,166296.0,3407087.0
47,Saskatchewan,2022-08-06,2022,381,11837.27,1469,10,122.95,31.89,0.84,4.56,1.43,0.12,141432,1185311.0,577060.4,957997.0,49173.0,908824.0
46,Manitoba,2022-08-06,2022,350,10422.34,2079,12,147.53,24.84,0.85,3.55,1.71,0.12,146874,1398303.0,540310.19,1149563.0,41676.0,1107887.0
35,Ontario,2022-08-06,2022,10411,9145.16,13748,92,90.99,68.9,0.61,9.84,13.14,0.09,1381780,14940912.0,892411.76,12573708.0,429429.0,12144279.0
24,Quebec,2022-08-06,2022,8069,13292.05,16297,94,187.42,92.79,1.08,13.26,13.43,0.15,1155831,8637650.0,1298599.75,7380033.0,219817.0,7160216.0
10,Newfoundland and Labrador,2022-08-06,2022,343,9523.51,212,6,40.39,65.21,1.09,9.32,0.82,0.16,50091,522501.0,358170.37,500017.0,19293.0,480724.0
